	Correlator	Error
0	9.930793321482237e-14	1.14840287692127e-15
1	1.4352894871620236e-13	1.2730850806855103e-15
2	2.917325216550412e-14	2.513196819738079e-16
3	8.646498220736814e-15	7.706304099129152e-17
4	2.6786849008706333e-15	2.5578309301081697e-17
5	8.526250537735976e-16	8.092736599724622e-18
6	2.73376996278407e-16	2.7010217608888e-18
7	8.886081471794069e-17	9.213408275999653e-19
8	2.9119883059246806e-17	3.270184375389544e-19
9	9.528685313358606e-18	1.1194620651655075e-19
10	3.1523376537530144e-18	3.937773984374824e-20
11	1.0429768685709748e-18	1.3888908886738846e-20
12	3.451546544482023e-19	4.917829546066541e-21
13	1.1600609591745712e-19	1.745194151240166e-21
14	3.7798270643122536e-20	6.27099505482732e-22
15	1.2556646410506197e-20	2.36631074277572e-22
16	4.2068821765818394e-21	8.874119913781886e-23
17	1.3550437142315745e-21	3.114503020528565e-23
18	4.577076963006247e-22	1.2233194876001664e-23
19	1.53238082500777e-22	4.763669385768443e-24
20	5.2440631387976265e-23	1.7678394928958513e-24
21	1.702767334496686e-23	6.690525140071051e-25
22	5.607798747802245e-24	2.5341822432073163e-25
23	1.8163101423177465e-24	9.900910322046897e-26
24	6.043575535810968e-25	3.909505987968106e-26
25	1.949994657679865e-25	1.48814681340106e-26
26	6.055483139544843e-26	5.891820888461453e-27
27	1.9436357481750855e-26	2.271318127679473e-27
28	6.373416221979623e-27	9.38677838556598e-28
29	1.6241709791799093e-27	3.770558835215298e-28
30	5.808984107747971e-28	1.5373444378511519e-28
31	1.6477950402340859e-28	7.028942976291628e-29
32	9.431077876414265e-29	5.310594272282869e-29
