	Correlator	Error
0	1.5934582096382585e-13	1.734157097185995e-15
1	1.9191551555023271e-13	1.6544710418565793e-15
2	4.5779139135141755e-14	3.7958186363752594e-16
3	1.5273148322499994e-14	1.2977502832422179e-16
4	5.2221697720921485e-15	4.686968347577213e-17
5	1.815238372292929e-15	1.611714240514856e-17
6	6.313922057259427e-16	5.754322970584159e-18
7	2.2117281837181573e-16	2.0838518520256036e-18
8	7.749556829104985e-17	7.740728190349476e-19
9	2.7117174049659428e-17	2.8036723431972374e-19
10	9.510494415957444e-18	1.0266110395137388e-19
11	3.346461027810968e-18	3.788439149293388e-20
12	1.1760928558348682e-18	1.4062314088345473e-20
13	4.1754684533267424e-19	5.2102858108705745e-21
14	1.450819015286488e-19	1.927310230604463e-21
15	5.0798692760070534e-20	7.22316566164183e-22
16	1.7907296986402076e-20	2.7417531935513723e-22
17	6.135017499926121e-21	9.928629263897787e-23
18	2.152689278431265e-21	3.9696931937040154e-23
19	7.651869770157705e-22	1.5404731865426456e-23
20	2.6889336530996223e-22	5.957156017153695e-24
21	9.500491710426496e-23	2.2914791595435435e-24
22	3.2924886253727646e-23	8.961175036480363e-25
23	1.1494122719273307e-23	3.549034825973099e-25
24	3.979017281243675e-24	1.4315318093285278e-25
25	1.3563083404465058e-24	5.681562513445509e-26
26	4.712439263911903e-25	2.288642698615823e-26
27	1.6556274535383678e-25	9.02550632477214e-27
28	5.711438638197523e-26	3.615583195158507e-27
29	1.8614443525548007e-26	1.4758132013383367e-27
30	6.4384653011164016e-27	5.9489341103037905e-28
31	2.60404001261108e-27	2.775126177855974e-28
32	1.554145987347276e-27	2.124858140982616e-28
