	Correlator	Error
0	5.828430893326284e-14	7.138312016613776e-16
1	1.0540411055514903e-13	9.609059211725374e-16
2	1.7907304980177104e-14	1.6145731387597833e-16
3	4.527462504566057e-15	4.3118362409073696e-17
4	1.2222417985180477e-15	1.2776320550127094e-17
5	3.42780129255525e-16	3.633047159828973e-18
6	9.770365990668729e-17	1.127749166629821e-18
7	2.854364129250446e-17	3.5363217042687985e-19
8	8.493646787959872e-18	1.199827153561695e-19
9	2.507621508627635e-18	3.898845645302072e-20
10	7.59826617584675e-19	1.333494939450241e-20
11	2.296144942713576e-19	4.657507827106454e-21
12	7.058784446524329e-20	1.6008852098875083e-21
13	2.211762475806602e-20	5.705976720816939e-22
14	6.459570951044591e-21	2.0173435112010076e-22
15	1.982756143134242e-21	7.716971443584128e-23
16	6.32072943281435e-22	3.011762462706167e-23
17	1.8384522739226849e-22	1.0472311592746343e-23
18	6.214286873874097e-23	4.10597133476546e-24
19	2.0390034739083493e-23	1.6593326469196e-24
20	7.032911444727187e-24	6.062206101125709e-25
21	1.6398083934885813e-24	2.372647042535884e-25
22	5.231497380290485e-25	8.957079234923587e-26
23	1.3771312536681916e-25	3.700039416904393e-26
24	5.35630195770702e-26	1.4045615849882545e-26
25	1.0255086850982089e-26	5.6488593212034934e-27
26	2.221657115018932e-28	2.214497911567559e-27
27	5.393025052410152e-28	8.583889806648232e-28
28	2.6648856400577265e-28	3.49217461658031e-28
29	5.307947400449375e-29	1.4561309933596872e-28
30	2.9126727447789924e-30	5.932542149505599e-29
31	1.2526326388158662e-29	2.7172791868592947e-29
32	-7.926713586010527e-30	2.1726086574353233e-29
