	Correlator	Error
0	8.125100333874884e-14	9.620870480480325e-16
1	1.275252930142375e-13	1.1434191984834683e-15
2	2.4203703165395398e-14	2.122164149006914e-16
3	6.77949893728251e-15	6.192183422976144e-17
4	2.0024386602332174e-15	1.9761847888713784e-17
5	6.106287980101316e-16	6.020212267298553e-18
6	1.8797702262751443e-16	1.9532343998357346e-18
7	5.889890562109735e-17	6.486224971953161e-19
8	1.8666384304076638e-17	2.258551179609781e-19
9	5.914327402857676e-18	7.586497394561795e-20
10	1.9023653200624563e-18	2.6461896386244517e-20
11	6.099992250258957e-19	9.184693740886398e-21
12	1.9656922633864463e-19	3.221997252658828e-21
13	6.430104214613428e-20	1.1246304136474924e-21
14	2.013487288416077e-20	4.0533200847303746e-22
15	6.549392190630909e-21	1.5531408542897496e-22
16	2.1435334910402685e-21	5.925228023694387e-23
17	6.697857773237837e-22	2.1218778874167847e-23
18	2.2484521691310163e-22	8.419339200863135e-24
19	7.370595872551623e-23	3.263285479435416e-24
20	2.483542860178756e-23	1.224370460107986e-24
21	7.633319489917278e-24	4.579306227691531e-25
22	2.574300315116506e-24	1.782969180784128e-25
23	7.820629476087677e-25	7.111627408007968e-26
24	2.626871375488517e-25	2.824320778522097e-26
25	8.261275442618256e-26	1.1106273394629536e-26
26	2.105835218134278e-26	4.3849953100913285e-27
27	7.53568463640015e-27	1.7278782228387202e-27
28	2.8794668291963462e-27	7.108411401140004e-28
29	4.856934057460279e-28	2.9049860874713195e-28
30	1.7284185299946884e-28	1.1939520665099499e-28
31	3.5252574711820285e-30	5.515583998739786e-29
32	-3.157052681106311e-29	4.1878693859187566e-29
