	Correlator	Error
0	6.877488962036623e-14	8.289366772936742e-16
1	1.1598863601469226e-13	1.0493479822892242e-15
2	2.0818773409449818e-14	1.8489044333032817e-16
3	5.540069972355995e-15	5.159827982208281e-17
4	1.5629016151651748e-15	1.5837304127536307e-17
5	4.564164564932933e-16	4.6617808022454796e-18
6	1.3536714696965317e-16	1.4810101339841286e-18
7	4.094294266484506e-17	4.781117439012051e-19
8	1.2604385818476905e-17	1.6443026858157741e-19
9	3.8349645101175036e-18	5.443339943034861e-20
10	1.1930667144007593e-18	1.884267567384564e-20
11	3.6965845096735303e-19	6.686343962348737e-21
12	1.1689051054879336e-19	2.3176797760195882e-21
13	3.7783000943689516e-20	8.331537534315806e-22
14	1.1523834904544186e-20	3.0219715245165416e-22
15	3.595651787956745e-21	1.1537446347206466e-22
16	1.1656831556480232e-21	4.602952881044515e-23
17	3.492946270565511e-22	1.6172415757903912e-23
18	1.1701061347684557e-22	6.5212265949415826e-24
19	3.759411858298428e-23	2.6078264382835958e-24
20	1.3674478584985546e-23	9.721963241793086e-25
21	3.39959694717873e-24	3.810384660767904e-25
22	1.1070700548719223e-24	1.4548213570352287e-25
23	3.507661106543888e-25	6.173363429807232e-26
24	1.1138656322303747e-25	2.388172142034849e-26
25	2.532471537507446e-26	9.643821784813036e-27
26	3.669018478080885e-27	3.7964959152082865e-27
27	1.2789988899933094e-27	1.5157339473516855e-27
28	1.1554848500199661e-27	6.028070015943276e-28
29	1.7447857710996045e-28	2.5673317249745434e-28
30	1.21024629686649e-28	1.074613679302503e-28
31	6.942286620206697e-29	4.931976769157702e-29
32	3.451445240971846e-29	4.013669332993666e-29
