	EffectiveMass
0	1.045427856445316
1	1.045501098632816
2	1.0455438232421908
3	1.0453765869140663
4	1.045462036132816
5	1.045499877929691
6	1.0454919433593786
7	1.0454028320312534
8	1.0454309082031286
9	1.0454162597656287
10	1.0454302978515662
11	1.0454113769531286
12	1.045556030273441
13	1.0453442382812534
14	1.045387573242191
15	1.0454223632812534
16	1.0454461669921908
17	1.0454040527343784
18	1.045420532226566
19	1.045477905273441
20	1.0453961181640663
21	1.0454693603515661
22	1.0453869628906285
23	1.0455395507812533
24	1.045453491210941
25	1.0454309082031286
26	1.0454248046875034
27	1.0453833007812534
28	1.045403442382816
29	1.045490112304691
30	1.0455065917968784
31	1.0454040527343784
32	1.045451049804691
33	1.0454681396484409
34	1.045501098632816
35	1.045460815429691
36	1.0454516601562536
37	1.0454516601562536
38	1.0455377197265658
39	1.045402221679691
40	1.0455218505859407
41	1.0454547119140662
42	1.0455523681640662
43	1.0453985595703161
44	1.0454461669921908
45	1.045460815429691
46	1.0455041503906284
47	1.0455462646484408
48	1.045473022460941
49	1.0454547119140662
50	1.0454656982421908
51	1.0454333496093786
52	1.0455383300781285
53	1.0454589843750035
54	1.045484008789066
55	1.0454736328125036
56	1.0453472900390661
57	1.0454681396484409
58	1.045477905273441
59	1.0455053710937534
60	1.0453710937500036
61	1.045436401367191
62	1.0454284667968785
63	1.045455932617191
64	1.0454437255859408
65	1.0453594970703162
66	1.0454437255859408
67	1.0454675292968785
68	1.0454437255859408
69	1.0454321289062536
70	1.0454687500000035
71	1.0454498291015661
72	1.0454846191406284
73	1.0454992675781285
74	1.0454681396484409
75	1.0453936767578162
76	1.0455029296875034
77	1.0454785156250035
78	1.0454522705078162
79	1.045475463867191
80	1.0455102539062535
81	1.0453405761718786
82	1.0454785156250035
83	1.0454461669921908
84	1.045444946289066
85	1.0454589843750035
86	1.045527954101566
87	1.045490112304691
88	1.0454461669921908
89	1.045427856445316
90	1.0454333496093786
91	1.0454687500000035
92	1.045466918945316
93	1.0454650878906284
94	1.0455273437500034
95	1.045535278320316
96	1.0455023193359407
97	1.0454882812500035
98	1.0454827880859408
99	1.045488891601566
100	1.0456433105468783
101	1.0453765869140663
102	1.0454882812500035
103	1.045447387695316
104	1.0454931640625036
105	1.045475463867191
106	1.0454284667968785
107	1.045459594726566
108	1.0454797363281285
109	1.0455969238281284
110	1.0454467773437535
111	1.045437622070316
112	1.0454589843750035
113	1.045433959960941
114	1.0453991699218785
115	1.0454125976562536
116	1.045497436523441
117	1.0454541015625036
118	1.0454632568359408
119	1.0455090332031285
120	1.0454833984375034
121	1.0454431152343784
122	1.0455438232421908
123	1.0454602050781285
124	1.0454528808593786
125	1.0454248046875034
126	1.0454693603515661
127	1.0454522705078162
128	1.045458374023441
129	1.045505981445316
130	1.0454882812500035
131	1.0454327392578162
132	1.0454528808593786
133	1.0455072021484408
134	1.0454180908203161
135	1.0454406738281286
136	1.0454943847656286
137	1.0454681396484409
138	1.0454718017578162
139	1.045416870117191
140	1.0454498291015661
141	1.045477905273441
142	1.0455029296875034
143	1.045427856445316
144	1.0455200195312533
145	1.0454699707031285
146	1.0454333496093786
147	1.0454431152343784
148	1.0454266357421909
149	1.045416870117191
150	1.0454156494140663
151	1.045429077148441
152	1.0454443359375034
153	1.0454614257812533
154	1.045441284179691
155	1.045505981445316
156	1.045479125976566
157	1.0454406738281286
158	1.0455468750000034
159	1.045460815429691
160	1.0454724121093786
161	1.0453851318359408
162	1.045437622070316
163	1.045448608398441
