	EffectiveMass	Error
0	0.0	
1	1.7995773799698946	0.0061356198301995
2	1.373047970299466	0.006634659422188565
3	1.338997049400279	0.007072073688451383
4	1.282109591598845	0.007025355384395915
5	1.275120550262734	0.007800546033254466
6	1.250009553420829	0.008570291420261326
7	1.2347821143899576	0.00908840188212516
8	1.2171511559844317	0.009930652390193319
9	1.2292584189439848	0.011144306562559839
10	1.2390872660368264	0.01231426765394393
11	1.208696163705705	0.014139224731171797
12	1.218075132109788	0.0177050896810315
13	1.202185797271044	0.02048820575661508
14	1.1970467324778449	0.023938107299879833
15	1.223353344172283	0.028112694377427024
16	1.167043258133074	0.0362612524913641
17	1.220274477783352	0.04223536977572882
18	1.1427069080115806	0.05310305315556827
19	1.2642112647870045	0.06492849819193325
20	1.2227763732040273	0.07965123476083127
21	1.1029609597505188	0.10434099787931198
22	1.431600653495828	0.13631809664041894
23	0.8794052742243432	0.1839618236846802
24	1.3234295785502772	0.19211260628298457
25	1.454102373256918	0.28109513970182126
26	0.99876962519244	0.36157225416477673
27	0.6586266386399108	0.4514588141924334
28	1.6766900790330141	0.49485848451863357
29	0.697519199523871	0.760556946927628
30	1.0836084942135398	0.755741411038675
